File ID,ENGLISH,ARABIC,FRENCH,GERMAN,RUSSIAN,SPANISH
58,ATM,Makenato Sarrafin Aali ,Distributeur automatique,Geldautomat,Bankomat,Cajero automático
59,Bank,Bank,Banque,Bank,Bank,Banco
60,Foreign Exchange,Sarfo Omla,Devise étrangère,Devisenhandel,Obmen valyut,Cambio de divisas
61,I would like to exchange money,Awado sarfa al omla,Je voudrais changer de l'argent,Ich möchte Geld wechseln,Ya khotel(a) by obmenyat' den'gi,Me gustaría cambiar dinero
62,What is the exchange rate today?,Ma howa se'ero al sarfi al yowm ?,Quel est le taux de change aujourd'hui ?,Was ist der Wechselkurs heute,Kakoy segodnya obmennyy kurs?,¿Cuál es el tipo de cambio hoy?
63,Tour guide,Morshedon siyahey,Guide touristique,Reiseleiter,Ekskursovod,Guía turístico
64,Are there any tours today?,Hal honak aiyyo jawlatin seyahiyyatin al yowm?,Y a-t-il des visites aujourd'hui ?,Bieten Sie heute Führungen an?,Segodnya est' kakie-nibud' ekskursii?,¿Hay alguna visita hoy?
65,Fitness Centre,Nade sehhey,Centre de fitness,Fitnessstudio,Fitnes-tsenter,Centro de fitness
66,Spa,Montaja'a,Spa,Spa,Spa-salon,Spa
67,Swimming pool,Masbah ,Piscine,Schwimmbad,Plavatel'niy basseyn,Piscina
68,Wheelchair access,madkhalo thawe ehteyajatin khassa ,Accès pour handicapés,Zugang für Rollstuhlfahrer,Dostup v invalidnykh kolyaskakh,Acceso para sillas de ruedas
69,I have a question,Ladaiyya So'al,J'ai une question,Ich habe eine Frage,U menya vopros,Tengo una pregunta
70,How can I help you?,Kaifa yomkinoni mosa'adatok?,Comment puis-je vous aider ?,Wie kann ich Ihnen helfen?,Mogu li ya vam pomoch?,¿Cómo le puedo ayudar?
71,Where is the…,Aina howa..,Où est le…,Wo ist…,Gde nakhoditsya…,Dónde está el...
72,How do I get to the city centre?,Kaifa aselo ela wasti al madina?,Comment aller au centre-ville ?,Wie komme ich in die Innenstadt?,Kak mne dobratsya do tsentra goroda?,¿Cómo llego al centro de la ciudad?
73,Is there a train sation nearby?,Hal honak mahattato qetarin qariba?,Y a-t-il une gare près d'ici ?,Gibt es einen Bahnhof in der Nähe?,Est' li poblizosty zheleznodorozhnaya stantsiya?,¿Hay una estación de tren cerca?
74,How far is it to the bus stop?,Kam tab'odo al masafato ann mahattati al hafila?,A quelle distance est l'arrêt de bus ?,Wie weit ist es bis zur Bushaltestelle?,Kak daleko do avtobusnoy ostanovki?,¿A qué distancia está la parada de autobús?
75,Is it easy to catch a taxi?,Hal min el sahli al hosoolo ala taxi?,Est-il facile de trouver un taxi ?,"Ist es einfach, ein Taxi zu nehmen?",Legko li poymat' taksi?,¿Es fácil tomar un taxi?
76,Do you have WiFi?,Hal ladaika shabakaton la selkeyya (wi fi)?,Avez-vous le WiFi ?,Haben Sie WiFi?,U vas est' Wi-Fi?,¿Tiene WiFi?
77,Do you have free internt access?,Hal ladaika wosoolon majjaniyyon lel internet?,Avez-vous un accès internet gratuit ?,Haben Sie kostenfreien Internetzzugang?,U vas est' besplatniy dostup v Internet?,¿Tiene acceso a Internet gratuito?
,Directions ,Al ettijahat,Directions,Richtungen,Marshrutnyye ukazaniya,Direcciones
78,Directions ,Ettijahat,Directions,Richtungen,Marshrutnyye ukazaniya,Direcciones
79,Right,Yameen,Droite,Rechts,Vpravo,Derecha
80,Left,Yasaar,Gauche,Links,Vlevo,Izquierda
81,Straight,Khatton mostaqeem,Tout droit,Geradeaus,Pryamo,Recto
82,Back,Rojooa',Derrière,Zurück,Nazad,Atrás
83,North ,Al shamal,Nord,Nord,Sever,Norte
84,South,Al janoob,Sud,Süd,Yug,Sur
85,East,Al sharq,Est,Ost,Vostok,Este
86,West,Al gharb,Ouest,West,Zapad,Oeste
87,Centre,Al markaz,Centre,Zentrum,Tsenter,Centro
88,Road,Tareeq,Route,Straße,Doroga,Carretera
89,Street,Shaare',Rue,Weg,Ulitsa,Calle
90,Avenue,Jaadda,Avenue,Allee,Prospekt,Avenida
91,Square,Maydan,Place,Platz,Ploshad',Plaza
92,Map,Khareeta,Carte,Karte,Karta,Mapa
93,Excuse me,Al ma'thera,Excusez-moi ,Enschuldigung,Izvinite menya,Perdone
94,Could you please help me?,Hal yomkenoka mosa'adati min fadlek?,Pourriez-vous m'aider ?,Können Sie mir bitte helfen?,Ne mogli by vy mne pomoch?,"¿Me podría ayudar, por favor?"
95,Which way is the airport?,Aina howa tareeqo al matar?,Par où est l'aéroport ?,Welche Richtung führt zum Flughafen?,V kakom napravlenii nakhoditsya aeroport?,¿En qué dirección está el aeropuerto?
96,How far is it to the beach?,Kam tab'odo al masafato an al shate'?,A quelle distance est la plage ?,Wie weit ist es bis zum Strand?,Kak daleko do plyazha?,¿A qué distancia está la playa?
97,The temple is that way,Al ma'bado fi hatha al tareeq,Le temple est dans cette direction,Der Tempel ist in der Richtung,Khram nakhoditsya v etom napravlenii,El templo está por allí
98,"You should take the highway, heading north.","Yajebo ann tastaqella al tareeqa al saree'a, be ettijahi al shamal",Vous devriez prendre l'autoroute et aller vers le nord.,Nehmen Sie die Autobahn Richtung Norden,Vam nuzhno ekhat' po shosse na sever,"Debería tomar la autovía, en dirección norte."
,Places of Interest,Amaken that Ahamiyya,Lieux intéressants,Sehenswürdigkeiten,Interesnyye mesta,Lugares de interés
99,Historical Landmark,Ma'lamon tarikheey,Site historique,Historische Wahrzeichen,Istoricheskaya dostoprimechatel'nost',Punto histórico
100,Museum,Mat-haf,Musée,Museum,Muzey,Museo
101,In the mall,Fi markazi al tasawooq,Dans le centre commercial,Im Einkaufszentrum,V torgovom tsentre,En el centro comercial
102,Garden,hadeeqa,Jardin,Garten,Sad,Jardín
103,Temple,Ma'bad,Temple,Tempel,Khram,Templo
104,Church,Kanisa,Eglise,Kirche,Tserkov,Iglesia
105,Cathedral,Katedra'eyyah,Cathédrale,Kathedrale,Kafedral'nyy Sobor,Catedral
106,Gallery,Ma'rad,Galerie,Gallerie,Galereya,Galería
107,Exhibition Centre,Markazo ma'aared,Centre d'expositions,Messestadt,Vystavochnyy tsenter,Centro de exposiciones
108,Shopping,Tasawooq,Shopping,Einkaufen,Magaziny,Compras
109,Café,Maqha,Café,Café,Kafe,Cafetería
110,Bar,Bar,Bar,Kneipe,Bar,Bar
111,Club,Nadi,Boîte de nuit,Disco,Klub,Club
112,Theatre,Masrah,Théâtre,Theater,Teatr,Teatro
113,Concert Hall,Qa'ato haflatin musiqiyya ,Salle de concert,Konzertsaal,Kontsertnyy zal,Sala de conciertos
114,Market,Souq,Marché,Markt,Rynok,Mercado
115,Planetarium,Qobbaton samaweyya,Planétarium,Planetarium,Planetariy,Planetario
116,Aquarium,Hadeqato asmaak,Aquarium,Aquarium,Akvariyum,Acuario
117,Amusement Park,Hadeqato malahi,Parc d'attractions,Vergnügungspark,Park attraktsionov,Parque de atracciones
118,Bus tour,Jawlaton bel hafila ,Visite en bus,Bustour,Avtobusnaya ekskursiya,Visita en autobús
119,Ruins,Atlaal,Ruines,Ruinen,Ruiny,Ruinas
120,Castle,Qal'a,Château,Burg,Zamok,Castillo
121,Palace,Qasr,Palais,Schloss,Dvorets,Palacio
122,Fort,Hesn,Forteresse,Festung,Fort,Fuerte
,Clothing,Al malabes,Vêtements,Kleidung ,Odezhda,Ropa
123,Clothes,Malabes,Habits,Kleidung,Odezhda,Ropa
124,Price,Se'r ,Prix,Preis,Tsena,Precio
125,Size,Maqas,Taille,Größe,Razmer,Talla
126,T-Shirt,T- shirt,T-Shirt,T-Shirt,Futbolka,Camiseta
127,Shirt,Qamees,Chemise,Hemd,Rubashka,Camisa
128,Trousers ,Bantaloon,Pantalon,Hose,Bryuki,Pantalones
129,Jeans,Jeans,Jean,Jeans,Dzhinsy,Vaqueros
130,Bag,Haqeeba,Sac,Handtasche,Sumka,Bolso
131,Scarf,Weshah,Echarpe,Schal,Sharf,Bufanda
132,Coat,Me'taf,Manteau,Mantel,Pal'to,Abrigo
133,Accessories,Akseswaarat,Accessoires,Accessoires,Aksessuary,Accesorios
134,Watch,Sa'aa,Montre,Uhr,Naruchnyye chasy,Reloj
135,Jewellery,Mojawharat,Bijoux,Schmuck ,Yuvelirnoye izdeliye,Joyería
136,Underwear,Malabeso Dakhiliyya,Sous-vêtements,Unterwäsche,Nizhnee bel'ye,Ropa interior
137,Dress,Fostan,Robe,Kleid,Plat'e,Vestido
138,Skirt,Tannora,Jupe,Rock,Yubka,Falda
139,Shorts,Shortat,Short,Kurze Hose,Shorty,Pantalones cortos
140,Shoes,Ahh-theya,Chaussures,Schuhe,Tufli,Zapatos
141,Sandals,Sanadel,Sandales,Sandalen,Sandalii,Sandalias
142,Jumper,Sotra,Pull,Pullover,Dzhemper,Suéter
143,Umbrella,Mathalla,Parapluie,Regenschirm,Zont,Paraguas
144,Gloves,Qofazat,Gants,Handschuhe,Perchatki,Guantes
145,Hat,Qobaa'a,Chapeau,Hut,Shlyapa,Sombrero
146,Swimming suit,Badlato Sebaha,Maillot de bain,Badeanzug,Kupal'nik,Traje de baño
147,Pyjamas,Bejama,Pyjama,Schlafanzug,Pizhama,Pijama
,Buying/Shopping,Al shera'a/ Al tasawooq,Achats/Shopping,Einkaufen,Pokupki/shopping,De compras
148,Buy,Sheraa'a,Acheter,Kaufen,Kupit',Comprar
149,Price,Se'er ,Prix,Preis,Tsena,Precio
150,Cost,Taklefa,Coût,Kosten,Stoimost',Coste
151,Cheap,Rakhees,Bon marché,Billig,Deshevo,Barato
152,Expensive,Ghali,Cher,Teuer,Dorogo,Caro
153,Free,Majjaniy,Gratuit,Kostenlos,Besplatno,Gratis
154,Souvenir,Tethkar,Souvenir,Souvenir,Suvenir,Recuerdo
155,Spices,Tawabel ,Epices,Gewürze,Pryanosti,Especias
156,Food,Ghada'a,Nourriture,Essen,Eda,Comida
157,Drinks,Mashrobat,Boissons,Getränke,Napitok,Bebidas
158,Credit card,Betaqato e'timan,Carte de crédit,Kreditkarte,Kreditnaya karta,Tarjeta de crédito
159,Debit card,Betaqato khasm,Carte de débit,Debitkarte,Debetovaya karta,Tarjeta de débito
160,Travellers cheques,Shekkaton Seyahiyya,Chèques de voyage,Reiseschecks,Dorozhnyye cheki,Cheques de viaje
161,Cash,Naqdey,Espèces,Bargeld,Nalichnyye,Dinero en efectivo
162,Change,Sarf,Monnaie,Kleingeld,Sdacha,Cambiar
163,Cheque ,Cheaque ,Chèque,Scheck,Chek,Cheque
164,Exchange rate,Se'ero al sarfi,Taux de change,Wechselkurs,Obmennyy kurs,Tipo de cambio
165,Big,Kabeer,Grand,Groß,Bol'shoy,Grande
166,Small,Sagheer,Petit,Klein,Malen'kiy,Pequeño
167,How much does this cost?,Kam yokallefo hatha?,Combien est-ce que ça coûte ?,Wieviel kostet das?,Skol'ko eto stoit?,¿Cuánto cuesta esto?
168,Will you give me a discount?,Hal sawfa to'atini khasman?,Pouvez-vous me faire un rabais ?,Geben Sie mir Rabatt?,Ne mogli by vy predostavit' mne skidku?,¿Me haría un descuento?
169,Can I exchange this?,Hal yomkinoni Estebdalo hatha?,Est-ce que je peux échanger ça ?,Kann ich dies umtauschen?,Mogu li ya obmenyat' eto?,¿Puedo cambiar esto?
170,You only get store credit,Anta taahsolo faqat ala neqati shera'in men al matjar,Vous avez seulement droit à un avoir,Sie bekommen nur einen Gutschein,Vy tolko poluchite tovarniy kredit,Solo obtendrá crédito para la tienda
171,Do you have change?,Hal ladaika serafa?,Avez-vous de la monnaie ?,Können Sie wechseln?,U vas est sdacha?,¿Tiene cambio?
172,Do you accept credit cards?,Hal taqbalo al betaqati al E'atimaniya?,Acceptez-vous la carte de crédit ?,Akzeptieren Sie Kredietkarten?,Vy prinimaete kreditnyye karty?,¿Aceptan tarjetas de crédito?
173,It costs $50,Ennaha tokallefo khamseena Dolaran,Cela coûte 50 dollars,Es kostet $50,Eto stoit 50 dollarov USA (S Sh A),Cuesta 50 $
174,"Buy one, get one free.","Eshteri wahidatan, wa Ohsol ala wahidaten majjanan.","Un acheté, un gratuit.","Kaufe eins, erhalte eins Gratis",Kupite odin tovar i poluchite vtoroy besplatno,"Compre uno, llévese uno gratis."
175,I'll take two please,Sa'akhotho ethnataini min fadleka. ,J'en prendrai deux s'il vous plait,Ich nehme zwei bitte,"Pozhaluysta, dayte mne dva","Me llevaré dos, por favor"
176,Thank you,Shukran lak. ,Merci,Danke,Spasibo,Gracias
177,Can I have a bag?,Hal yomkinoni al hosoolo ala haqeeba?,Puis-je avoir un sac ?,Kann ich eine Tasche bekommen?,Ne mogli by vy dat' mne paket?,¿Me podría dar una bolsa?
178,Do you deliver?,Hal ladaika khedmato tawseel?,Est-ce que vous livrez ?,Liefern Sie an?,Vy osushestvlyayete dostavku?,¿Tienen entrega a domicilio?
179,When will it be ready?,Mata sawfa takoono jahiza?,Quand est-ce que ce sera prêt ?,Wann wird es fertig sein?,Kogda eto budet gotovo?,¿Cuándo estará listo?
180,Do you have it in a bigger size?,Hal ladaika hathehi bemaqasin akbar?,Avez-vous une plus grande taille ?,Haben Sie es eine Nummer größer?,U vas est' eto bol'shego razmera?,¿Lo tienen en una talla mayor?
181,It's out of stock,Laqad nafethat min al makhzoon,Le stock est épuisé,Es ist ausverkauft,Etogo uzhe net na sklade,Está agotado
182,It's the last one,Ennaha a'akhero wahedin,C'est le dernier,Es ist das Letzte,Eto posledniy,Es el último
183,I would like to return this,Awaddo e'aadata hathehi,J'aimerais rendre ceci,Ich möchte dieses zurückbringen,Ya khotel(a) by vernut' eto,Me gustaría cambiar esto
184,Is this item on sale?,Hal hathehi al maddato tahtt al takhfidat?,Cet article est-il en vente ?,Ist dieser Artikel runtergesetzt?,Etot tovar prodaetsya so skidkoy?,¿Está de oferta este artículo?
,Restaurant,Al mata'am ,Restaurant,Restaurant,Restoran,Restaurante
185,Restaurant,mata'am,Restaurant,Restaurant,Restoran,Restaurante
186,Breakfast,Fatoor,Petit déjeuner,Früstück,Zavtrak,Desayuno
187,Lunch,Gheda'a,Déjeuner,Mittagessen,Obed,Almuerzo
188,Dinner,Asha'a,Dîner,Abendessen,Uzhin,Cena
189,Starter,Muqabilat,Entrée,Vorspeise,Zakuska,Entrada
190,Main course,Tabaqon Ra'esi,Plat principal,Hauptgericht,Glavnoye blyudo,Plato principal
191,Dessert,Halwayat,Dessert,Nachtisch,Desert,Postre
192,Side dish,tabaqqon janibiy,Plat d'accompagnement,Beilage,Garnir,Acompañamiento
193,Table,Tawila ,Table ,Tisch,Stol,Mesa
194,Fork,shawka ,Fourchette,Gabel,Vilka,Tenedor
195,Spoon,mela'aqa,Cuillère,Loeffel,Lozhka,Cuchara
196,Knife,Sekkin,Couteau,Messer,Nozh,Cuchillo
197,Plate,Tabaq,Plat,Teller ,Tarelka,Plato
198,Serviette,Mandeelo ma'eda,Serviette,Serviette,Salfetka,Servilleta
199,Waiter,Nadel ,Serveur,Kellner,Ofitsiant,Camarero
200,Waitress,Naadela,Serveuse,Kellnerin,Ofitsiantka,Camarera
201,"I'd like some water, please.",Oreedo ba'ad al ma'a,Je voudrais de l'eau s'il vous plait.,Ich möchte bitte ein Wasser.,"Pozhaluysta, prinesite mne nemnogo vody","Me gustaría algo de agua, por favor."
202,"Can we have the menu, please?","hal yomkino an nahsola ala qa'emati al ta'ami, min fadlek?",Puis-je voir le menu s'il vous plait ?,Können wir bitte die Speisekarte haben?,Ne mogli by vy podat' nam menyu?,"¿Nos podría traer el menú, por favor?"
203,Can I book a table for four?,hal yomkinoni hajzo tawilatin le arba'ati ash-khas?,Est-il possible de réserver une table pour quatre ?,Kann ich einen Tisch für vier Personen buchen?,Mozhno zabronirovat' stolik na chetverykh?,¿Puedo reservar una mesa para cuatro?
204,What time will you arrive?,fi ayye waqtin satasel?,A quelle heure arriverez-vous ?,Um wieviel Uhr werden Sie ankommen?,V kakoye vremya vy pridete?,¿A qué hora llegará?
205,Are you ready to order?,hal anta mosta'edon le talab?,Êtes-vous prêts à commander ?,Möchten Sie schon bestellen?,Vy gotovy sdelat' zakaz?,¿Está listo para pedir?
206,"We would like to order two salads, please.",nawaddo an natloba ethnaini min al salata. Min fadlek.,Nous aimerions commander deux salades s'il vous plait.,Wir möchten bitte zwei Salate betstellen. ,My khoteli by zakazat' dva salata,"Nos gustarían dos ensaladas, por favor."
207,"Can we have the bill, please?",hal yomkino an nahsola ala al fatorati min fadlek?,Pouvons-nous avoir l'addition s'il vous plait ?,Können wir bitte die Rechnung bekommen?,Ne mogli by vy prinesti schet?,"¿Nos podría traer la cuenta, por favor?"
208,What are the specials today?,ma hiya al atbaqo al khassato al yowm?,Quel est le plat du jour ?,Was für Angebote haben Sie heute?,Kakiye firmennyye blyuda predlagayutsya segodnya?,¿Cuáles son los especiales hoy?
209,Can we leave a tip?,hal yomkinona tarko baqsheesh?,Pouvons-nous laisser un pourboire ?,Können wir Trinkgeld hinterlassen?,Mozhem li my ostavit' chayevyye?,¿Podemos dejar propina?
210,How much is the buffet?,kam se'ero al buffaih?,A combien est le buffet ?,Wieviel kostet das Buffet?,"Skol'ko stoit ""shvedskiy stol""?",¿Cuánto cuesta el bufé?
,Food,Al ghada'a,Nourriture,Essen,Yeda,Comida
211,Food ,ghada'a,Nourriture,Essen,Yeda,Comida
212,Tea,shai,Thé,Tee,Chay,Té
213,I'd like a cup of coffee,Arghabo bel husooli ala fenjani qahwa,J'aimerais une tasse de café,Ich möchte eine Tasse Kaffee,Ya khotel by vypit' chashechku kofe,Me gustaría una taza de café
214,Sugar,Sukkar,Sucre,Zucker,Sakhar,Azúcar
215,Salt & Pepper,Melhon wa Folfol ,Sel et poivre,Salz und Pfeffer,Sol' i perets,Sal y pimienta
216,Milk,Haleeb,Lait,Milch,Moloko,Leche
217,Cheese,jobna,Fromage,Käse,Syr,Queso
218,Drinks,Mashroubat,Boissons,Getränke,Napitki,Bebidas
219,Wine,Nabeeth,Vin,Wein,Vino,Vino
220,Beer,Beera,Bière,Bier,Pivo,Cerveza
221,Soda,Souda,Soda,Sprudel,Gazirovka,Refresco
222,Juice,A'seer,Jus,Saft,Sok,Zumo
223,Vegetarian,Nabati,Végétarien,Vegetarisch,Vegetarianskiy,Vegetariano
224,Meat,Lahm,Viande,Fleisch,Myaso,Carne
225,Eggs,Baid,Oeufs,Eier,Yaytsa,Huevos
226,Chicken,Dajaj,Poulet,Huhn,Kuritsya,Pollo
227,Fish,Samak,Poisson,Fisch,Ryba,Pescado
228,Sandwich,Shateera,Sandwich,Butterbrot,Buterbrod,Sándwich
229,Burger,Burger,Hamburger,Hamburger,Gamburger,Hamburguesa
230,Pizza,Pizza,Pizza,Pizza,Pitsa,Pizza
231,Fries,Batateso maqliyya,Frites,Pommes Frites,Friz,Patatas fritas
232,Salad,Salata,Salade,Salat,Salat,Ensalada
233,Soup,Hasa'a,Soupe,Suppe,Sup,Sopa
234,Fruit ,Fakiha,Fruit,Obst,Frukt,Fruta
235,Vegetables,Khadrawat,Légumes,Gemüse,Ovoshi,Verduras
236,Chocolate,Chocolata,Chocolat,Schockolade,Shokolad,Chocolate
237,Ice-cream,Ice Cream ,Glace,Eis,Morozhenoye,Helado
238,Sweet,Holu,Sucré,Süß,Sladkiy,Dulce
239,Salty,Maleh,Salé,Salzig,Solenyy,Salado
240,Spicy,Har,Epicé,Scharf,Pryanyy,Picante
241,Sour,Haamed,Aigre,Sauer,Kislyy,Agrio
242,Bitter,Mur,Amer,Bitter,Gor'kiy,Amargo
,Emergency Services,Khadamat Al taware',Urgences,Notfall Dienste,Avariyno-spasatel'niye slyzhby,Servicios de emergencia
243,Emergency,Taware',Urgence,Notfall,Skoraya pomosh',Emergencia
244,Hospital,Mustashfa,Hôpital,Krankenhaus,Bol'nitsya,Hospital
245,Ambulance,Es'aaf,Ambulance,Krankenwagen,Avtomobil' skoroy pomoshi,Ambulancia
246,Sick,Mareed,Malade,Krank ,Bol'noy,Enfermo
247,Accident,Hadeth,Accident,Unfall,Neschastnyy sluchay,Accidente
248,Emergency Room,ghurfato taware',Salle des urgences,Notaufnahme,Reanimatsiya,Sala de urgencias
249,Doctor,tabeeb,Docteur,Arzt,Vrach,Doctor
250,Surgery,A'amaliyyaton Jerahiyya,Chirurgie,Chirurgie,Khirurgiya,Cirugía
251,Injured,Musab ,Blessé,Verletzt,Travmirovannyy,Herido
252,Cut,qate',Coupé,Schnittwunde,Porez,Cortado 
253,Broken,maksour,Cassé,Kaputt,Slomannyy,Roto
254,Health insurance,ta'meenon sehhiy,Assurance santé,Krankenversicherung,Meditsinskoye strakhovaniye,Seguro de salud
255,Nurse,mumarred,Infirmier,Krankenschwester,Medsestra,Enfermera
256,Anaesthesia,takhdeer,Anesthésie,Narkose,Anesteziya,Anestesia
257,First Aid box,haqebato esa'afatin awaliyya ,Trousse de premiers secours,Verbandskasten,Aptechka prevoy pomoshi,Botiquín de primeros auxilios
258,Medicine,dawa',Médicament,Medizin,Lekarstvo,Medicina
259,Police,shurta ,Police,Polizei,Politsiya,Policía
260,Theft,Sareqa,Voleur,Diebstahl,Krazha,Robo
261,Wallet,Mehfatha,Porte-monnaie,Portemonnaie,Bumazhnik,Cartera
262,Report,Balagh,Signalement,Bericht,Soobshit',Denuncia
263,Help,Musa'ada,Aide,Hilfe,Pomosh',Ayuda
264,We need an ambulance!,nahno nahtajo ela seyyarati esa'af,Nous avons besoin d'une ambulance !,Wir brauchen einen Krankenwagen!,Nam nuzhna skoraya pomosh'!,¡Necesitamos una ambulancia!
